Ingenuity Canonical Pathways	 -log(p-value)	Ratio	z-score	Molecules
Xenobiotic Metabolism Signaling	1.84	0.206	NaN	"ALDH18A1,ALDH1A3,ALDH1B1,ARNT,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CES1,CES3,CHST11,CHST15,CREBBP,CYP1B1,DNAJC7,FTL,GRIP1,GSTM5,HDAC5,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,KEAP1,MAF,MAOB,MAP2K6,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK14,MAPK8,MED1,NCOA1,NDST1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPARGC1A,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKCB,PRKD1,RALA,RAP1A,RAP2B,UGT8,UST"
VDR/RXR Activation	1.83	0.256	0.577	"CCNC,CDKN1A,CSNK2A1,CYP27B1,GTF2B,IGFBP5,KLF4,MED1,MXD1,NCOA1,NCOA3,PDGFA,PRKCB,PRKD1,RUNX2,SP1,THBD,TNFSF11,WT1,YY1"
PPAR Signaling	1.79	0.24	-1	"CREBBP,IL1F10,IL1RAPL1,IL1RN,IL36RN,INSR,MAP3K7,MAP4K4,MAPK1,MED1,NCOA1,NFKBIB,NFKBIE,NRAS,PDGFA,PDGFB,PDGFRA,PPARG,PPARGC1A,PTGS2,RALA,RAP1A,RAP2B,SOS1,STAT5B"
NRF2-mediated Oxidative Stress Response	1.79	0.217	0.6	"ABCC1,AKR1A1,BACH1,CBR1,CLPP,CREBBP,DNAJA2,DNAJB14,DNAJC11,DNAJC13,DNAJC14,DNAJC3,DNAJC5B,DNAJC7,ENC1,ERP29,FTL,GSK3B,GSTM5,HACD3,KEAP1,MAF,MAFG,MAP2K6,MAP3K7,MAPK1,MAPK14,MAPK8,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,UBE2K,USP14"
G?i Signaling	1.78	0.232	0.2	"ADCY2,ADCY3,ADCY5,ADRA2A,CHRM2,CNR1,DRD2,GABBR2,GNAI2,GNAI3,GNG10,GNG12,GNG13,GNG4,GPR17,HTR1D,LPAR1,MAPK1,NRAS,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RALA,RAP1A,RAP2B,SOS1,STAT3"
TR/RXR Activation	1.77	0.25	NaN	"AKT3,DIO2,KLF9,LDLR,MED1,NCOA1,NCOA3,NRGN,PDE3B,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPARGC1A,SLC2A1,STRBP,SYT2,TBL1XR1,THRA,THRB"
Role of JAK1 and JAK3 in ?c Cytokine Signaling	1.77	0.261	NaN	"IL15RA,IL2RA,IL2RB,IRS1,JAK2,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,STAT3,STAT5B,SYK"
VEGF Family Ligand-Receptor Interactions	1.77	0.25	-0.447	"AKT3,MAPK1,NRAS,NRP2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1,VEGFA"
Cellular Effects of Sildenafil (Viagra)	1.75	0.229	NaN	"ADCY2,ADCY3,ADCY5,CACNA1C,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),GUCY1A2,GUCY1B1,KCNN3,MPRIP,MYH11,NPPA,PDE3A,PDE3B,PDE4D,PDE5A,PLCB1,PLCB4,PPP1CB,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKG1,SLC4A5"
Hepatic Cholestasis	1.74	0.216	NaN	"ABCC1,ABCG8,ADCY2,ADCY3,ADCY5,CNTF,EDA,ESR1,HNF1A,IL11,IL12B,IL17A,IL17D,IL1F10,IL1RAPL1,IL1RN,IL36RN,INSR,IRAK2,MAP3K7,MAPK10,MAPK8,NFKBIB,NFKBIE,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,RARA,SLC22A7,SLCO1A2,SLCO1C1,TJP2,TNFSF10,TNFSF11,TNFSF13,TNFSF9"
Aldosterone Signaling in Epithelial Cells	1.74	0.222	-0.447	"AHCY,ASIC1,ASIC2,DNAJB14,DNAJC11,DNAJC13,DNAJC14,DNAJC24,DNAJC25,DNAJC3,DNAJC30,DNAJC5B,DNAJC7,HSPA4L,HSPA9,HSPB6,HSPB7,MAPK1,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PIKFYVE,PIP4K2B,PIP5K1A,PLCB1,PLCB4,PRKCB,PRKD1,SASS6,SLC12A1,SLC12A2,SOS1"
GABA Receptor Signaling	1.73	0.242	NaN	"ADCY2,ADCY3,ADCY5,AP2B1,AP2M1,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,GABBR2,GABRA1,GABRB1,GABRB2,GABRB3,GAD1,KCNN3,RPS27A,SLC6A1,UBD"
Integrin Signaling	1.72	0.211	-0.649	"ACTN4,AKT3,ARF6,ARHGAP5,ARPC4,ARPC5,CAPN10,CAPN8,CDC42,CRK,GSK3B,ITGA1,ITGB1,ITGB8,MAPK1,MAPK8,MPRIP,MYLK2,NEDD9,NRAS,PAK2,PAK5,PDGFB,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PIKFYVE,PPP1CB,PTEN,PXN,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,ROCK1,SOS1,TNK2,TSPAN1,TSPAN5,VCL"
IL-4 Signaling	1.71	0.247	NaN	"AKT3,HLA-DMB,HMGA1,IRF4,IRS1,JAK2,NFAT5,NFATC2,NFATC3,NRAS,OCRL,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RPS6KB2,SOS1"
Role of BRCA1 in DNA Damage Response	1.71	0.25	2.138	"ARID2,ATM,BARD1,CDKN1A,E2F1,E2F2,E2F3,E2F5,E2F7,FANCF,FANCM,MSH6,PBRM1,PLK1,POU2F1,RB1,RBBP8,RFC1,RPA1,SMARCD1"
IL-17 Signaling	1.71	0.25	NaN	"AKT3,GSK3B,IL17A,JAK2,MAP2K6,MAP3K7,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTGS2,RALA,RAP1A,RAP2B"
B Cell Activating Factor Signaling	1.71	0.293	-1.265	"MAPK1,MAPK10,MAPK14,MAPK8,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,TNFRSF13C,TRAF1,TRAF3"
Angiopoietin Signaling	1.71	0.253	-1.069	"AKT3,ANGPT1,CRK,NFKBIB,NFKBIE,NRAS,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RASA1,SOS1,STAT5B"
nNOS Signaling in Skeletal Muscle Cells	1.71	0.293	NaN	"CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CHRNA1,SNTB1,SNTB2"
iCOS-iCOSL Signaling in T Helper Cells	1.7	0.234	-0.853	"AKT3,CALM1 (includes others),CAMK2A,CAMK2B,CAMK2D,CAMK2G,CD247,CD86,GAB2,HLA-DMB,IL2RA,IL2RB,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP3R1,PTEN,TRAT1"
Natural Killer Cell Signaling	1.7	0.213	-0.926	"AKT3,CD226,CD247,CD48,CDC42,CFL2,COL3A1,HSPA9,IL12B,IL2RB,ITGB1,JAK2,LIMK1,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK14,NFAT5,NFATC2,NFATC3,NRAS,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PXN,RALA,RAP1A,RAP2B,RASSF5,ROCK1,SH2D1A,SOS1,STAT4,SYK,TNFSF10"
Apelin Muscle Signaling Pathway	1.7	0.368	-1.134	"AKT3,APLN,PPARGC1A,PRKAA2,PRKAB2,PRKAG1,SLC2A4"
Aryl Hydrocarbon Receptor Signaling	1.69	0.224	-1.569	"ALDH18A1,ALDH1A3,ALDH1B1,ARNT,ATM,CCNA2,CCND1,CCND2,CCNE2,CDK6,CDKN1A,CTSD,CYP1B1,E2F1,ESR1,GSTM5,HSPB7,MAPK1,MAPK8,MED1,NCOA3,NFIA,NFIB,NFIC,NFIX,RARA,RARB,RB1,SP1,TGM2,TP73,TRIP11"
Gustation Pathway	1.68	0.221	NaN	"ADCY2,ADCY3,ADCY5,APEX1,ASIC1,ASIC2,CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,FICD,GDPD1,GNG13,MPPED2,NAPEPLD,P2RX4,PDE3A,PDE3B,PDE4D,PDE5A,PDE6C,PDE7A,PDE7B,PDE8B,PDE9A,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B"
Fc Epsilon RI Signaling	1.67	0.231	-0.577	"AKT3,GAB1,MAP2K6,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,OCRL,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1,SYK"
G?s Signaling	1.64	0.234	-0.655	"ADCY2,ADCY3,ADCY5,CNR1,CREB1,CREB3,CREB5,CREBBP,GNG10,GNG12,GNG13,GNG4,HCK,LHCGR,MAPK1,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PTGIR,PTH1R,RAP1A,RAPGEF2,VIPR1"
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	1.63	0.213	-0.169	"AKT3,APOL1,CDC42,CREBBP,JAK2,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK10,MAPK14,MAPK8,NCF1,NCF4,NFKBIB,NFKBIE,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP1CB,PPP1CC,PPP1R3C,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,PRKCB,PRKD1,RAP1A,RHOA,RHOBTB2,RHOH,RND1"
Sphingosine and Sphingosine-1-phosphate Metabolism	1.61	0.5	1	"ACER2,ASAH2,ASAH2B,SGPP1"
IL-22 Signaling	1.61	0.333	-1.414	"AKT3,IL22RA2,MAPK1,MAPK10,MAPK14,MAPK8,STAT3,STAT5B"
ErbB4 Signaling	1.59	0.254	-1.807	"APH1A,ERBB4,MAPK1,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1,YAP1"
CDP-diacylglycerol Biosynthesis I	1.57	0.35	-0.378	"AGPAT2,AGPAT3,CDS1,CRLS1,GPAM,LCLAT1,TAZ"
Ceramide Signaling	1.55	0.239	0.894	"AKT3,CTSD,KSR1,MAPK8,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP2CB,PPP2R1B,PPP2R2A,PPP2R3A,PPP2R5B,PPP2R5C,PPP2R5E,RALA,RAP1A,RAP2B,S1PR5"
Sonic Hedgehog Signaling	1.55	0.31	0.333	"DYRK1A,GLIS2,GSK3B,HHIP,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B"
IL-7 Signaling Pathway	1.54	0.244	-1.698	"AKT3,BCL6,CCND1,EBF1,FOXO3,GSK3B,MAPK1,MAPK14,MCL1,PAX5,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,SLC2A1,SOS1,STAT5B"
Tetrapyrrole Biosynthesis II	1.53	0.6	NaN	"ALAD,ALAS1,UROS"
Apelin Cardiomyocyte Signaling Pathway	1.53	0.232	-1.964	"AKT3,APLN,ARNT,GNAI2,GNAI3,MAPK1,MAPK10,MAPK14,MAPK6,MAPK8,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PLCB1,PLCB4,PRKCB,PRKD1,SLC8A1,SLC9A2,SLC9A5,SLC9A6"
Cancer Drug Resistance By Drug Efflux	1.52	0.259	NaN	"ABCC1,AKT3,FOXO3,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,PTGS2,RALA,RAP1A,RAP2B"
CCR5 Signaling in Macrophages	1.51	0.234	-1.667	"CACNA1C,CACNA2D1,CACNB4,CACNG1,CACNG4,CACNG6,CACNG7,CACNG8,CALM1 (includes others),CD247,GNAI2,GNAI3,GNG10,GNG12,GNG13,GNG4,MAPK1,MAPK10,MAPK14,MAPK8,PRKCB,PRKD1"
IL-3 Signaling	1.48	0.241	-1.606	"AKT3,GAB2,JAK2,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP3R1,PRKCB,PRKD1,RALA,RAP1A,RAP2B,SOS1,STAT3,STAT5B"
?-linolenate Biosynthesis II (Animals)	1.42	0.353	0	"ACSL1,ACSL4,ACSL5,ACSL6,FADS2,SLC27A4"
Mitochondrial L-carnitine Shuttle Pathway	1.42	0.353	0	"ACSL1,ACSL4,ACSL5,ACSL6,CPT1A,SLC27A4"
PXR/RXR Activation	1.41	0.246	NaN	"AKT3,ALAS1,CES3,CPT1A,FOXO3,HMGCS2,INSR,NCOA1,PAPSS2,PPARGC1A,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,SCD"
Virus Entry via Endocytic Pathways	1.41	0.224	NaN	"AP1G1,AP1S2,AP2B1,AP2M1,AP3M1,CDC42,CLTA,CXADR,ITGA1,ITGB1,ITGB8,ITSN1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,ZBTB12"
Role of IL-17A in Arthritis	1.4	0.255	NaN	"IL17A,MAP2K6,MAPK1,MAPK10,MAPK14,MAPK8,NFKBIB,NFKBIE,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTGS2"
Fatty Acid Activation	1.4	0.385	-0.447	"ACSL1,ACSL4,ACSL5,ACSL6,SLC27A4"
Acute Phase Response Signaling	1.38	0.207	1.029	"AKT3,C1S,CP,ECSIT,FGB,FGG,FTL,HNF1A,HPX,IL1F10,IL1RN,IL36RN,JAK2,MAP2K6,MAP3K7,MAPK1,MAPK14,MAPK8,NFKBIB,NFKBIE,NRAS,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RALA,RAP1A,RAP2B,RBP7,SERPING1,SOCS6,SOCS7,SOS1,STAT3,TCF4"
G Protein Signaling Mediated by Tubby	1.37	0.29	NaN	"GNAQ,GNG10,GNG12,GNG13,GNG4,INSR,JAK2,PLCB1,PLCB4"
Polyamine Regulation in Colon Cancer	1.35	0.318	NaN	"AZIN1,CTNNB1,MXD1,ODC1,PPARG,PSME3,TCF4"
Phosphatidylglycerol Biosynthesis II (Non-plastidic)	1.35	0.318	-0.378	"AGPAT2,AGPAT3,CDS1,CRLS1,GPAM,LCLAT1,TAZ"
Antioxidant Action of Vitamin C	1.32	0.22	-1.698	"JAK2,MAPK1,MAPK10,MAPK14,MAPK8,NAPEPLD,NFKBIB,NFKBIE,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLA2R1,PLCB1,PLCB4,PLD5,SLC23A3,SLC2A1,SLC2A2,SLC2A4,STAT5B,TXNRD2,TXNRD3"
Actin Nucleation by ARP-WASP Complex	1.31	0.236	-0.775	"ARPC4,ARPC5,CDC42,GNA12,ITGB1,NRAS,PPP1R12C,RALA,RAP1A,RAP2B,RHOA,RHOBTB2,RHOH,RND1,ROCK1,ROCK2,SOS1"
Ethanol Degradation II	1.29	0.281	2.333	"ACSL1,ACSS3,ADH5,AKR1A1,ALDH1A3,ALDH1B1,DHRS2,DHRS4,DHRS9"
Nitric Oxide Signaling in the Cardiovascular System	1.29	0.222	-2.132	"AKT3,CACNA1C,CALM1 (includes others),GUCY1A2,GUCY1B1,MAPK1,PDE3B,PDE5A,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,PRKG1,VEGFA"
VEGF Signaling	1.29	0.222	-2.065	"ACTN4,AKT3,ARNT,EIF2B2,FOXO3,MAPK1,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PXN,RALA,RAP1A,RAP2B,ROCK1,ROCK2,SOS1,VCL,VEGFA"
Ceramide Degradation	1.28	0.5	NaN	"ACER2,ASAH2,ASAH2B"
NAD Biosynthesis III	1.28	0.5	NaN	"NAMPT,NMNAT2,NMNAT3"
MIF Regulation of Innate Immunity	1.27	0.262	1.508	"MAPK1,MAPK10,MAPK8,NFKBIB,NFKBIE,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PTGS2"
Sirtuin Signaling Pathway	1.27	0.192	0.48	"ADAM10,APEX1,APP,ATG12,ATG13,ATG14,ATG16L1,ATG3,ATG9B,ATP5F1C,BCL2L11,BECN1,BPGM,CLOCK,CPT1A,CRTC2,E2F1,ESRRA,FOXO3,GABARAPL1,GABPA,GABPB1,GABPB2,GLUD2,GSK3B,GTF3C2,H1-10,H3-3A/H3-3B,HMGCS2,LDHA,MAPK1,MAPK6,MT-ND4L,NAMPT,NDUFA4L2,POLR1C,POLR2F,PPARG,PPARGC1A,PRKAA2,RARB,RBBP8,SDHD,SIRT2,SLC2A1,SMARCA5,SP1,STAT3,TIMM17A,TIMM22,TIMM44,TIMM8B,TOMM40L,TP73,TUBA4A,WRN"
T Cell Receptor Signaling	1.27	0.219	NaN	"CALM1 (includes others),CBL,CD247,MAPK1,MAPK8,NFAT5,NFATC2,NFATC3,NRAS,PAG1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PPP3R1,PTPRH,RALA,RAP1A,RAP2B,RASA1,SHB,SOS1"
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	1.26	0.233	0.243	"ADCY2,ADCY3,ADCY5,ADCYAP1,CCKAR,CHRM2,GNAI2,GNAI3,GNAQ,PLCB1,PLCB4,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,VIPR1"
IL-9 Signaling	1.21	0.273	-1.414	"CISH,IRS1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,STAT3,STAT5B"
Docosahexaenoic Acid (DHA) Signaling	1.21	0.263	NaN	"AKT3,ALOX15,APP,GSK3B,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3"
"1,25-dihydroxyvitamin D3 Biosynthesis"	1.18	0.667	NaN	"CYP27B1,POR"
Death Receptor Signaling	1.17	0.22	-0.447	"CASP10,CASP8,DFFB,HSPB7,HTRA2,LIMK1,MAP4K4,MAPK8,NFKBIB,NFKBIE,PARP10,PARP16,PARP6,PARP9,ROCK1,TNFRSF25,TNFSF10,TNKS,TNKS2,XIAP"
Vitamin-C Transport	1.17	0.292	0.447	"LRRC8B,LRRC8C,SLC2A1,SLC2A4,STOM,TXNRD2,TXNRD3"
Tec Kinase Signaling	1.15	0.201	-0.655	"CDC42,FRK,GNA12,GNAI2,GNAI3,GNAQ,GNG10,GNG12,GNG13,GNG4,HCK,ITGB1,JAK2,MAPK10,MAPK8,PAK2,PAK5,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RHOA,RHOBTB2,RHOH,RND1,STAT3,STAT4,STAT5B,TNFRSF25,TNFSF10"
MIF-mediated Glucocorticoid Regulation	1.14	0.265	2.333	"MAPK1,NFKBIB,NFKBIE,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PTGS2"
tRNA Charging	1.14	0.256	2.53	"CARS1,DARS1,FARSB,HARS2,IARS1,LARS2,SARS1,TARS2,WARS1,YARS1"
Assembly of RNA Polymerase II Complex	1.1	0.24	NaN	"ERCC2,GTF2B,GTF2H1,GTF2H2,GTF2H5,MNAT1,POLR2F,TAF10,TAF2,TAF3,TAF4,TAF7L"
Role of JAK family kinases in IL-6-type Cytokine Signaling	1.08	0.28	NaN	"JAK2,MAPK1,MAPK10,MAPK14,MAPK8,STAT3,STAT5B"
IL-15 Production	1.08	0.207	-1.4	"ABL2,AXL,DYRK1A,EGFR,EPHA4,EPHA5,EPHA8,ERBB3,ERBB4,FRK,HCK,INSR,JAK2,KIT,LMTK2,MAP2K6,NTRK3,PDGFRA,PTK7,RET,ROR1,SYK,TNK2,TWF1,TYRO3"
"PD-1, PD-L1 cancer immunotherapy pathway"	1.02	0.208	0.218	"AKT3,CBLB,CD247,CD274,CIP2A,CSNK2A1,GSK3B,HLA-DMB,IL12B,IL2RA,IL2RB,JAK2,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PTEN,SMAD3,STAT5B,YAP1,ZBTB12"
Xenobiotic Metabolism PXR Signaling Pathway	1.01	0.193	-0.822	"ALDH18A1,ALDH1A3,ALDH1B1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CDK5,CES1,CES3,CHST11,CHST15,CREBBP,DNAJC7,GRIP1,GSTM5,HS3ST1,HS3ST3A1,HS3ST3B1,HS6ST1,MAOB,MED1,NCOA1,NDST1,PPARGC1A,PPP1CB,PPP1CC,PPP1R3C,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,PRKCB,PRKD1,UGT8,UST"
Apelin Liver Signaling Pathway	1.01	0.269	-1.89	"APLN,COL3A1,EDN1,GSK3B,IRS1,MAPK10,MAPK8"
NAD biosynthesis II (from tryptophan)	0.983	0.333	0	"HAAO,IDO1,NMNAT2,NMNAT3"
Th2 Pathway	0.967	0.199	1.633	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,APH1A,BMPR2,CD247,CD86,DLL1,HLA-DMB,IKZF1,IL12B,IL2RA,IL2RB,JAK2,MAF,NFATC2,NOTCH4,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RUNX3,STAT4,STAT5B,TGFBR3"
Role of IL-17F in Allergic Inflammatory Airway Diseases	0.963	0.238	-1.667	"CREB1,CREB3,CREB5,CREBBP,IL11,MAPK1,RPS6KA2,RPS6KA3,RPS6KA5,RPS6KA6"
Role of MAPK Signaling in the Pathogenesis of Influenza	0.959	0.212	NaN	"AKT3,MAP2K6,MAPK1,MAPK10,MAPK14,MAPK8,NRAS,PLA2G12A,PLA2G2A,PLA2G2F,PLA2G4E,PLA2G4F,PLA2R1,PTGS2,RALA,RAP1A,RAP2B"
Notch Signaling	0.951	0.243	0.447	"APH1A,DLL1,DTX4,FURIN,HEY2,MAML1,NOTCH4,NUMB,RBPJ"
CD27 Signaling in Lymphocytes	0.947	0.226	-1.897	"CASP8,MAP2K6,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK10,MAPK8,NFKBIB,NFKBIE,SIVA1"
Lymphotoxin ? Receptor Signaling	0.947	0.226	-1.508	"AKT3,CREBBP,MAPK1,PDPK1,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,TRAF1,TRAF3,VCAM1"
Phototransduction Pathway	0.947	0.226	NaN	"GNGT1,GUCA1A,GUCY1A2,GUCY1B1,OPN3,PDE6C,PRKACA,PRKACB,PRKAG1,PRKAR2A,PRKAR2B,RGS9BP"
4-1BB Signaling in T Lymphocytes	0.943	0.25	0	"MAPK1,MAPK10,MAPK14,MAPK8,NFKBIB,NFKBIE,TNFSF9,TRAF1"
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	0.939	0.219	-2.309	"AKT3,CRK,GNAI2,GNAI3,GSK3B,KPNA3,MAPK1,NFKBIB,NFKBIE,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3"
Methionine Degradation I (to Homocysteine)	0.936	0.273	1.633	"AHCY,AHCYL2,FTSJ1,MAT1A,MRM2,PRMT5"
Proline Biosynthesis I	0.932	0.5	NaN	"ALDH18A1,PYCR2"
Acetate Conversion to Acetyl-CoA	0.932	0.5	NaN	"ACSL1,ACSS3"
Xenobiotic Metabolism General Signaling Pathway	0.932	0.196	-2.268	"AKT3,ARNT,CREBBP,FTL,GSTM5,KEAP1,MAF,MAP2K6,MAP3K12,MAP3K2,MAP3K3,MAP3K7,MAP3K9,MAPK1,MAPK14,MAPK8,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B,UGT8"
Transcriptional Regulatory Network in Embryonic Stem Cells	0.9	0.222	NaN	"CDX2,FOXC1,H3-3A/H3-3B,HOXB1,ISL1,LHX5,MYF5,REST,RIF1,STAT3,TCF7L1,ZFHX3"
Toll-like Receptor Signaling	0.9	0.211	0.905	"ECSIT,IL12B,IL1F10,IL1RN,IL36RN,IRAK2,MAP2K6,MAP3K7,MAP4K4,MAPK1,MAPK14,MAPK8,RPS27A,TOLLIP,TRAF1,UBD"
NF-?B Activation by Viruses	0.883	0.207	-0.728	"AKT3,ITGA1,ITGB1,MAPK1,NFKBIB,NFKBIE,NRAS,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,PRKCB,PRKD1,RALA,RAP1A,RAP2B"
Apoptosis Signaling	0.879	0.202	-0.229	"AIFM1,BCL2L11,CAPN10,CAPN8,CASP10,CASP8,DFFB,HTRA2,MAP4K4,MAPK1,MAPK8,MCL1,NFKBIB,NFKBIE,NRAS,RALA,RAP1A,RAP2B,ROCK1,XIAP"
FAT10 Signaling Pathway	0.863	0.278	1	"NUB1,PSME3,UBA6,UBD,UBE2Z"
Inhibition of Matrix Metalloproteases	0.842	0.231	1.134	"ADAM10,MMP14,MMP15,MMP16,MMP19,MMP24,SDC1,SDC2,TFPI2"
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	0.836	0.202	NaN	"CALM1 (includes others),CD247,MAPK1,MAPK10,MAPK8,NFAT5,NFATC2,NFATC3,NFKBIB,NFKBIE,NRAS,PPP3R1,RALA,RAP1A,RAP2B,SMAD2,SMAD3,SOS1"
Role of JAK2 in Hormone-like Cytokine Signaling	0.824	0.235	NaN	"GHR,IRS1,JAK2,SH2B1,SOCS6,SOCS7,STAT3,STAT5B"
Retinoate Biosynthesis I	0.824	0.235	1.134	"AKR1B1,ALDH1A3,BMP2,DHRS4,DHRS9,NT5C1B,RBP7,RDH10"
Cell Cycle Control of Chromosomal Replication	0.812	0.214	1.155	"CDC6,CDK10,CDK11B,CDK19,CDK5,CDK6,CDK8,CDK9,DBF4,MCM8,PRIM2,RPA1"
Heme Biosynthesis II	0.812	0.333	NaN	"ALAD,ALAS1,UROS"
Th1 and Th2 Activation Pathway	0.812	0.187	NaN	"ACVR1B,ACVR1C,ACVR2A,ACVR2B,APH1A,BMPR2,CD247,CD274,CD86,DLL1,HLA-DMB,IKZF1,IL12B,IL2RA,IL2RB,JAK2,MAF,MAP2K6,NFATC2,NFATC3,NOTCH4,PIK3CA,PIK3CB,PIK3CD,PIK3R1,PIK3R3,RUNX3,STAT3,STAT4,STAT5B,TGFBR3,TNFSF11"
